ncbi_gene_id,gene_symbol,disease_id,relationship
22948,CCT5,D:10414,associated_with
5376,PMP22,D:10416,associated_with
5376,PMP22,D:10416,associated_with
5376,PMP22,D:10417,associated_with
163175,LGI4,D:1042,associated_with
57104,PNPLA2,D:10421,associated_with
57104,PNPLA2,D:10421,associated_with
2672,GFI1,D:10424,associated_with
10456,HAX1,D:10425,associated_with
10456,HAX1,D:10425,associated_with
1991,ELANE,D:10426,associated_with
6730,SRP68,D:10427,associated_with
29927,SEC61A1,D:10428,associated_with
2672,GFI1,D:10429,associated_with
92579,G6PC3,D:10430,associated_with
92579,G6PC3,D:10430,associated_with
11311,VPS45,D:10431,associated_with
11311,VPS45,D:10431,associated_with
84522,JAGN1,D:10432,associated_with
1441,CSF3R,D:10433,associated_with
1441,CSF3R,D:10433,associated_with
6729,SRP54,D:10434,associated_with
81570,CLPB,D:10435,associated_with
7454,WAS,D:10436,associated_with
7454,WAS,D:10436,associated_with
5530,PPP3CA,D:1044,associated_with
1441,CSF3R,D:10440,associated_with
4210,MEFV,D:10441,associated_with
4210,MEFV,D:10441,associated_with
5777,PTPN6,D:10441,associated_with
2776,GNAQ,D:10443,associated_with
2776,GNAQ,D:10443,associated_with
60,ACTB,D:10444,associated_with
60,ACTB,D:10444,associated_with
91754,NEK9,D:10445,associated_with
91754,NEK9,D:10445,associated_with
6017,RLBP1,D:10450,associated_with
4763,NF1,D:10451,associated_with
6595,SMARCA2,D:10453,associated_with
6595,SMARCA2,D:10453,associated_with
4864,NPC1,D:10456,associated_with
10577,NPC2,D:10456,associated_with
4864,NPC1,D:10457,associated_with
10577,NPC2,D:10457,associated_with
4864,NPC1,D:10458,associated_with
10577,NPC2,D:10458,associated_with
4864,NPC1,D:10459,associated_with
10577,NPC2,D:10459,associated_with
4864,NPC1,D:10460,associated_with
10577,NPC2,D:10460,associated_with
6609,SMPD1,D:10462,associated_with
6609,SMPD1,D:10463,associated_with
6609,SMPD1,D:10463,associated_with
